Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
37,Rb,5sp Ratio,,1.99221,0.00003,Expt.,2015,"R. H. Leonard, A. J. Fallon, C. A. Sackett, and M. S. Safronova, Phys. Rev. A 92,052501 (2015)",https://doi.org/10.1103/PhysRevA.92.052501,"Square of ratio of reduced E1 matrix elements: |<5s|5p+>/<5s|5p->|^2"
37,Rb,5sp Ratio,,1.9917,,CCSDpTsc,2015,"R. H. Leonard, A. J. Fallon, C. A. Sackett, and M. S. Safronova, Phys. Rev. A 92,052501 (2015)",https://doi.org/10.1103/PhysRevA.92.052501,"Square of ratio of reduced E1 matrix elements: |<5s|5p+>/<5s|5p->|^2"
56,Ba+,6p-,5d-,3.03,0.09,Expt.,1993,"A. Kastberg, P. Villemoes, A. Arnesen, F. Heijkenskjöld, A. Langereis, P. Jungner, and S. Linnaeus, J. Opt. Soc. Am. B 10, 1330 (1993)",https://doi.org/10.1364/JOSAB.10.001330,
56,Ba+,6p+,5d-,1.36,0.04,Expt.,1993,"A. Kastberg, P. Villemoes, A. Arnesen, F. Heijkenskjöld, A. Langereis, P. Jungner, and S. Linnaeus, J. Opt. Soc. Am. B 10, 1330 (1993)",https://doi.org/10.1364/JOSAB.10.001330,
55,Cs,7p-,6s,0.2781,0.00045,Expt.,2019,"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",https://doi.org/10.1103/PhysRevA.99.062510,
55,Cs,7p+,6s,0.57417,0.00057,Expt.,2019,"Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)",https://doi.org/10.1103/PhysRevA.99.062510,
37,Rb,5p-,5s,4.26,0.03,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,5p-,4d-,8.07,0.02,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,5p+,5s,6.02,0.05,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,5p+,4d-,3.65,0.02,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,5p+,4d+,10.96,0.04,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,6p-,5s,0.342,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,6p+,5s,0.553,0.003,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,7p-,5s,0.118,0.01,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,7p+,5s,0.207,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,8p-,5s,0.061,0.005,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
37,Rb,8p+,5s,0.114,0.002,CCSD(T),2012,"B. Arora and B. K. Sahoo, Phys. Rev. A 86, 033416 (2012)",https://doi.org/10.1103/PhysRevA.86.033416,
19,K,4p-,4s,4.102,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
19,K,4p-,3d-,7.949,,CCSD,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
19,K,4p-,3d-,7.989,0.08,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,5p-,6s,4.146,,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,5p-,4d-,8.02,0.17,CCSDpT,2007,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 76, 052516 (2007)",https://doi.org/10.1103/PhysRevA.76.052516,
37,Rb,6p-,5s,0.325,0.009,CCSDpT,2012,"B. Arora, M. S. Safronova, and C. W. Clark, Phys. Rev. A 84, 043401 (2011); C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://doi.org/10.1103/PhysRevA.84.043401; https://link.aps.org/doi/10.1103/PhysRevLett.109.243003,Value from 2011 paper; uncertanty from 2012 paper
