Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
56,Ba+,5D3/2,,89400000000,15600000000,Experiment,2007,"J. Gurell, E. Bi�mont, K. Blagoev, V. Fivet, P. Lundin, S. Mannervik, L. -O. Norlin, P. Quinet, D. Rostohar, P. Royen, P. Schef, Phys. Rev. A 75 (2007) 052506.",https://doi.org/10.1103/PhysRevA.75.052506,
56,Ba+,5D5/2,,32000000000,4600000000,Experiment,2007,"J. Gurell, E. Bi�mont, K. Blagoev, V. Fivet, P. Lundin, S. Mannervik, L. -O. Norlin, P. Quinet, D. Rostohar, P. Royen, P. Schef, Phys. Rev. A 75 (2007) 052506.",https://doi.org/10.1103/PhysRevA.75.052506,
12,Mg+,3P3/2,,3.84,0.1,Experiment,2009,"M. Herrmann, V. Batteiger, S. Kn�nz, G. Saathoff, Th. Udem, T. W. H�nsch, Phys. Rev. Lett. 102 (2009) 013006.",https://doi.org/10.1103/PhysRevLett.102.013006,
56,Ba+,5D5/2,,31200000000,900000000,Experiment,2014,"C. Auchter, T. W. Noel, M. R. Hoffman, S. R. Williams, B. B. Blinov, Phys. Rev. A 90 (2014) 060501(R).",https://doi.org/10.1103/PhysRevA.90.060501,
40,Ca+,4P1/2,,6.904,0.026,Experiment,2015,"M. Hettrich, T. Ruster, H. Kaufmann, C. F. Roos, C. T. Schmiegelow, F. Schmidt-Kaler, U. G. Poschinger, Phys. Rev. Lett. 115 (2015) 143003.",https://doi.org/10.1103/PhysRevLett.115.143003,
56,Ba+,6P1/2,,7.855,0.01,Experiment,2019,"K. J. Arnold, S. R. Chanu, R. Kaewuam, T. R. Tan, L. Yeo, Z. Zhang, M. S. Safronova, M. D. Barrett, Phys. Rev. A 100 (2019) 032503.",https://doi.org/10.1103/PhysRevA.100.032503,
56,Ba+,6P3/2,,6.271,0.008,Experiment,2019,"K. J. Arnold, S. R. Chanu, R. Kaewuam, T. R. Tan, L. Yeo, Z. Zhang, M. S. Safronova, M. D. Barrett, Phys. Rev. A 100 (2019) 032503.",https://doi.org/10.1103/PhysRevA.100.032503,
40,Ca+,4P3/2,,6.639,0.042,Experiment,2020,"Z. Meir, M. Sinhal, M. S. Safronova, S. Willitsch, Phys. Rev. A 101 (2020) 012509.",https://doi.org/10.1103/PhysRevA.101.012509,
56,Ba+,5D5/2,,30140000000,400000000,Experiment,2020,"Z. Zhang, K. J. Arnold, S. R. Chanu, R. Kaewuam, M. S. Safronova, M. D. Barrett, Phys. Rev. A 101 (2020) 062515.",https://doi.org/10.1103/PhysRevA.101.062515,
56,Ba+,6P1/2,,7.74,0.4,Theory,1967,"A. Gallagher, Phys. Rev. 157 (1967) 24.",https://doi.org/10.1103/PhysRev.157.24,
56,Ba+,6P3/2,,6.27,0.25,Theory,1967,"A. Gallagher, Phys. Rev. 157 (1967) 24.",https://doi.org/10.1103/PhysRev.157.24,
12,Mg+,3P1/2,,3.872,,Theory,1968,"L. J. Curtis, Amer. J. Phys. 36 (1968) 1123.",https://doi.org/10.1119/1.1974376,
12,Mg+,3P3/2,,3.842,,Theory,1968,"L. J. Curtis, Amer. J. Phys. 36 (1968) 1123.",https://doi.org/10.1119/1.1974376,
56,Ba+,6P1/2,,7.92,0.08,Theory,1978,"P. Kuske, N. Kirchner, W. Wittmann, H. J. Andra, D. Kaiser, Phys. Lett. A 64 (1978) 377.",https://doi.org/10.1016/0375-9601(78)90271-2,
40,Ca+,4D3/2,,2.868,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,4D5/2,,2.886,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,4F5/2,,3.895,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,4F7/2,,3.897,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,5D3/2,,6.148,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,5D5/2,,6.199,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,5P1/2,,36.2,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
