Z,Atom,A,B,Value,Error,Method,Year,Citation,Link,Note
55,Cs (a_2),11p3/2,,-1254,11,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),12p3/2,,-3041,24,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),5d3/2,,0.357,0.025,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),6d3/2,,8.749,0.078,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),7d3/2,,71.08,0.75,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),8d3/2,,338.6,3.1,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),9d3/2,,1190,8,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),10d3/2,,3419,22,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),11d3/2,,8511,54,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),12d3/2,,18734,158,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),5d5/2,,0.677,0.034,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),6d5/2,,17.3,0.11,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),7d5/2,,141.7,1.1,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),8d5/2,,678.1,4.9,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),9d5/2,,2388,14,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),10d5/2,,6871,35,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),11d5/2,,17111,69,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
55,Cs (a_2),12d5/2,,38424,291,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,
